編號,所屬單位,安裝地址,攝影方向
LAKC017-01,文山第一分局 復興派出所,和興路44巷14弄4-1號,東
LAKC018-01,文山第一分局 復興派出所,和興路44巷12之2號,西
LAKC019-01,文山第一分局 復興派出所,和興路44巷8號,南
LAKC020-01,文山第一分局 復興派出所,木柵路1段101號旁,北
LAKC021-01,文山第一分局 復興派出所,和興路52巷7弄口,東
LAKC022-01,文山第一分局 復興派出所,和興路53巷2弄1號,南
LAKC023-01,文山第一分局 復興派出所,和興路29號,東南
LAKC023-02,文山第一分局 復興派出所,和興路29號,北
LAKC025-01,文山第一分局 復興派出所,和興路26巷6號,東
LAKC026-01,文山第一分局 復興派出所,木柵路1段58巷15之1號,東
LAKC027-01,文山第一分局 復興派出所,和興路44巷16號對面,東
LAKC028-01,文山第一分局 復興派出所,木柵路1段123號前,西
LAKC029-01,文山第一分局 復興派出所,木柵路、試院路口,北
LAKC030-01,文山第一分局 復興派出所,和興路6巷1弄1號,東
LAKC031-02,文山第一分局 復興派出所,木柵路1段59巷口,南
LAKC032-01,文山第一分局 復興派出所,和興路78巷19號前,西
LAKC032-02,文山第一分局 復興派出所,和興路78巷19號前,北
LAKC033-01,文山第一分局 復興派出所,木柵路1段70巷後方1之1號,東
LAKC034-01,文山第一分局 復興派出所,試院路5巷1號對面,南
LAKC035-01,文山第一分局 復興派出所,木柵路1段59巷64號旁,西
LAKC036-01,文山第一分局 復興派出所,木柵路1段233號,南
LAKC037-01,文山第一分局 復興派出所,木柵路1段177號前,西
LAKC038-01,文山第一分局 復興派出所,木柵路1段335巷口,南
LAKC039-02,文山第一分局 復興派出所,木柵路1段366號,東
LAKC041-01,文山第一分局 復興派出所,光輝路7號,北
LAKC041-02,文山第一分局 復興派出所,光輝路7號,南
LAKC042-01,文山第一分局 復興派出所,木柵路1段240號旁,南
LAKC044-01,文山第一分局 復興派出所,富山路27號前,南
LAKC045-01,文山第一分局 復興派出所,木柵路1段329號,西
LAKC046-01,文山第一分局 復興派出所,中山村木柵路1段378巷26號,北
LAKC047-01,文山第一分局 復興派出所,木柵路1段335巷11弄10號,北
LAKC048-01,文山第一分局 復興派出所,木柵路1段335巷9號,南
LAKC049-01,文山第一分局 復興派出所,木柵路1段281號,北
LAKC050-01,文山第一分局 復興派出所,辛亥路6段98號,西
LAKC051-01,文山第一分局 復興派出所,木柵路1段191巷和231巷口,北
LAKC053-01,文山第一分局 復興派出所,木柵路1段191巷29號,東
LAKC054-01,文山第一分局 復興派出所,富山路1巷12號,南
LAKC055-01,文山第一分局 復興派出所,試院路4巷4號,北
LAKC056-01,文山第一分局 復興派出所,辛亥路6段86巷口,西
LAKC057-01,文山第一分局 復興派出所,辛亥路7段5巷口,東北
LAKC058-01,文山第一分局 復興派出所,木柵路1段166號前,東
LAKC059-01,文山第一分局 復興派出所,試院路144巷4弄1號,東
LAKC059-02,文山第一分局 復興派出所,試院路144巷4弄1號,北
LAKC060-01,文山第一分局 復興派出所,試院路4巷22號,東
LAKC061-01,文山第一分局 復興派出所,試院路146號,東
LAKC061-02,文山第一分局 復興派出所,試院路146號,北
LAKC062-01,文山第一分局 復興派出所,試院路38號,南
LAKC063-01,文山第一分局 復興派出所,試院路154巷1弄5號,東
LAKC064-01,文山第一分局 復興派出所,試院路104號,東
LAKC065-01,文山第一分局 復興派出所,試院路154巷2弄2號,東
LAKC066-01,文山第一分局 復興派出所,試院路154巷3弄5號,東
LAKC067-01,文山第一分局 復興派出所,試院路154巷2弄16號,西
LAKC068-01,文山第一分局 復興派出所,木柵路1段285號,西
LAKC069-01,文山第一分局 復興派出所,木柵路1段235號,西南
LAKC070-02,文山第一分局 復興派出所,木柵路和光輝路,西
LAKC071-01,文山第一分局 復興派出所,辛亥路7段20巷2號旁,南
LAKC072-01,文山第一分局 復興派出所,光輝路20巷7號,東
LAKC073-01,文山第一分局 復興派出所,辛亥路6段80巷2號,西北
LAKC074-01,文山第一分局 復興派出所,辛亥路6段90號對面人行道,北
LAKC075-01,文山第一分局 復興派出所,光輝路18巷口,西
LAKC076-01,文山第一分局 復興派出所,辛亥路7段65巷7號,北
LAKC077-02,文山第一分局 復興派出所,興隆路4段68-6號旁,南
LAKC078-01,文山第一分局 復興派出所,光輝路144號對面,東
LAKC079-01,文山第一分局 復興派出所,光輝路71巷6號前,西
LAKC080-01,文山第一分局 復興派出所,忠順街1段4號(實踐國小門口),東
LAKC082-01,文山第一分局 復興派出所,光輝路30巷21號,北
LAKC083-02,文山第一分局 復興派出所,北市文山區辛亥路7段　忠順街口路口監控,東
LAKC084-01,文山第一分局 復興派出所,忠順街1段木新路三段310號,西
LAKC085-01,文山第一分局 復興派出所,光輝路50巷3弄22號 光輝路65巷口,西
LAKC086-02,文山第一分局 復興派出所,興隆路4段、下崙路口,南
LAKC087-01,文山第一分局 復興派出所,忠順街1段123號,北
LAKC088-01,文山第一分局 復興派出所,光輝路84號,東
LAKC089-01,文山第一分局 復興派出所,興隆路4段58巷9-1號前,東
LAKC090-01,文山第一分局 復興派出所,興隆路4段66巷13號前牆壁上,北
LAKC091-01,文山第一分局 復興派出所,忠順街1段9巷1號,北
LAKC092-01,文山第一分局 復興派出所,光輝路30巷1號旁,西
LAKC093-01,文山第一分局 復興派出所,辛亥路7段26巷5號,東
LAKC094-01,文山第一分局 復興派出所,下崙路27-3號對面,東
LAKC095-01,文山第一分局 復興派出所,興隆路4段52巷9號,東
LAKC096-01,文山第一分局 復興派出所,興隆路4段58巷14號,北
LAKC097-01,文山第一分局 復興派出所,興隆路4段58巷11號,西
LAKC098-01,文山第一分局 復興派出所,忠順街1段121巷7弄1號,東
LAKC099-01,文山第一分局 復興派出所,光輝路134巷12弄3號,東
LAKC100-01,文山第一分局 復興派出所,辛亥路7段55號,西南
LAKC101-01,文山第一分局 復興派出所,忠順街1段121巷3弄15號,東
LAKC102-01,文山第一分局 復興派出所,光輝路118巷8號,南
LAKC103-01,文山第一分局 復興派出所,興隆路4段58巷27號,東
LAKC104-01,文山第一分局 復興派出所,光輝路49巷9號旁,南
LAKC105-01,文山第一分局 復興派出所,忠順街1段41巷3弄2號旁,北
LAKC106-01,文山第一分局 復興派出所,忠順街1段41巷3弄18號前,東
LAKC107-01,文山第一分局 復興派出所,光輝路87巷2弄1號旁,南
LAKC108-01,文山第一分局 復興派出所,光輝路78巷2號旁,南
LAKC109-01,文山第一分局 復興派出所,光輝路71巷口,東南
LAKC110-01,文山第一分局 復興派出所,下崙路30巷1號,東南
LAKC111-01,文山第一分局 復興派出所,忠順街135號,西
LAKC112-01,文山第一分局 復興派出所,興隆路4段68-1號前中央分隔島,東
LAKC113-01,文山第一分局 復興派出所,下崙路9之3號,北
LAKC114-01,文山第一分局 復興派出所,興隆路4段62巷19號,東
LAKC115-01,文山第一分局 復興派出所,興隆路4段66巷17號,西
LAKC116-01,文山第一分局 復興派出所,興隆路4段66巷1號,西
LAKC117-01,文山第一分局 復興派出所,辛亥路7段60巷2號,東
LAKC118-01,文山第一分局 復興派出所,光輝路52號 (47巷),南
LAKC119-01,文山第一分局 復興派出所,北市文山區忠順街1段121巷7弄12號前路口監控,東
LAKC120-01,文山第一分局 復興派出所,光輝路140號,東
LAKC121-01,文山第一分局 復興派出所,下崙路27號對面,西
LAKC122-01,文山第一分局 復興派出所,下崙路33巷21號對面,東南
LAKC123-01,文山第一分局 復興派出所,光輝路110號,西
LAKC124-01,文山第一分局 復興派出所,興隆路4段62巷9號,東
LAKC125-01,文山第一分局 復興派出所,光輝路19號,南
LAKC126-01,文山第一分局 復興派出所,捷運動物園站1號出口旁中央分隔島右邊,西南
LAKC127-01,文山第一分局 復興派出所,辛亥路7段57巷7號,西
LAKC128-01,文山第一分局 復興派出所,光輝路50巷、辛亥路7段,東
LAKC129-01,文山第一分局 復興派出所,光輝路50巷3弄1號,東
LAKC130-01,文山第一分局 復興派出所,辛亥路7段50號對面,西南
LAKD001-01,文山第一分局 指南派出所,新光路深坑交界（深坑交流道旁進出本轄）,東
LAKD002-01,文山第一分局 指南派出所,新光路2段96號前（國道九隊前）,北
LAKD003-01,文山第一分局 指南派出所,新光路2段74巷口（清龍宮牌樓前）50公尺,西北
LAKD004-01,文山第一分局 指南派出所,文和橋頭(新光路2段),北
LAKD008-01,文山第一分局 指南派出所,捷運動物園站1號出口旁中央分隔島左邊,東北
LAKD009-01,文山第一分局 指南派出所,新光路2段21-1號往前50公尺,西
LAKD010-01,文山第一分局 指南派出所,新光路2段21-1號,東南
LAKD011-01,文山第一分局 指南派出所,新光路2段高速公路高架橋下號誌桿前100公尺,東南
LAKD012-01,文山第一分局 指南派出所,新光路2段捷運站前(捷運站1號出口),東北
LAKD013-01,文山第一分局 指南派出所,新光路2段28號麥當勞左旁50公尺號誌桿,東北
LAKD014-01,文山第一分局 指南派出所,新光路2段8號,東北
LAKD015-01,文山第一分局 指南派出所,秀明路2段7巷8弄2號,南
LAKD016-01,文山第一分局 指南派出所,新光路1段65巷14號,西
LAKD017-01,文山第一分局 指南派出所,捷運動物園站1號出口旁中央分隔島右邊,西南
LAKD018-01,文山第一分局 指南派出所,新光路2段8號前中央分隔島左邊,西南
LAKD019-01,文山第一分局 指南派出所,新光路2段動物園中央停車場第1支號誌燈桿,西南
LAKD020-01,文山第一分局 指南派出所,新光路2段動物園中央停車場第2支號誌燈桿(好味坊餐廳對面),西南
LAKD021-01,文山第一分局 指南派出所,新光路2段動物園中央停車場第3支號誌燈桿,西南
LAKD022-01,文山第一分局 指南派出所,指南路2段45巷16號,南
LAKD023-01,文山第一分局 指南派出所,萬壽路27號對面 秀明路2段交叉口,北
LAKD024-01,文山第一分局 指南派出所,新光路1段65巷59號前,東北
LAKD025-01,文山第一分局 指南派出所,新光路1段166號旁河堤入口處前,南
LAKD026-01,文山第一分局 指南派出所,新光路1段118巷1號旁萬壽橋下燈桿,南
LAKD027-01,文山第一分局 指南派出所,指南路1段河堤道南橋涵洞,北
LAKD029-01,文山第一分局 指南派出所,新光路1段32巷4弄11號,南
LAKD030-01,文山第一分局 指南派出所,新光路1段32巷底,東
LAKD031-01,文山第一分局 指南派出所,新光路1段31巷口,東
LAKD032-01,文山第一分局 指南派出所,新光路1段27號,西
LAKD033-01,文山第一分局 指南派出所,新光路1段77號,北
LAKD034-01,文山第一分局 指南派出所,新光路1段95巷2號,西北
LAKD036-01,文山第一分局 指南派出所,新光路1段161號,南
LAKD037-01,文山第一分局 指南派出所,台北市文山區秀明路二段12號前,東
LAKD038-01,文山第一分局 指南派出所,北市文山區秀明路2段7巷口路口監控,北
LAKD039-01,文山第一分局 指南派出所,秀明路2段73巷口,西
LAKD040-01,文山第一分局 指南派出所,秀明路2段86號旁,東南
LAKD042-01,文山第一分局 指南派出所,秀明路2段118巷口,北
LAKD044-01,文山第一分局 指南派出所,指南路2段27號,東
LAKD045-01,文山第一分局 指南派出所,指南路2段27號,西
LAKD046-01,文山第一分局 指南派出所,指南路2段49號前,西
LAKD047-01,文山第一分局 指南派出所,指南路2段61號,東
LAKD048-01,文山第一分局 指南派出所,指南路2段71號前,西
LAKD049-01,文山第一分局 指南派出所,指南路2段64號,北
LAKD050-01,文山第一分局 指南派出所,指南路2段62號旁,東
LAKD051-01,文山第一分局 指南派出所,北市文山區萬壽路27號前（熊威超市門口左方）路口監控,東北
LAKD052-01,文山第一分局 指南派出所,萬壽路8號,西南
LAKD053-01,文山第一分局 指南派出所,指南路2段149號旁,北
LAKD054-01,文山第一分局 指南派出所,指南路2段177號旁(指南派出所大門口左側),西
LAKD056-01,文山第一分局 指南派出所,指南路2段124號對面(政大1街三叉口)號誌,西北
LAKD057-01,文山第一分局 指南派出所,北市文山區政大一街99號、政大3街口路口監控,西
LAKD058-01,文山第一分局 指南派出所,北市文山區政大一街、政大2街口路口監控,西
LAKD059-01,文山第一分局 指南派出所,政大二街22號,東北
LAKD060-01,文山第一分局 指南派出所,政大2街99巷口(政大二街88號旁燈桿),北
LAKD061-01,文山第一分局 指南派出所,北市文山區萬壽路、政大1街口路口監控,南
LAKD062-01,文山第一分局 指南派出所,新光路二段74巷(往猴山岳交叉口),北
LAKD063-01,文山第一分局 指南派出所,萬壽路小坑口(往猴山岳入口處)公車站-猴山坑站,東南
LAKD064-01,文山第一分局 指南派出所,北市文山區萬壽路75巷口（政大御花園大門口）路口監控,東南
LAKD065-01,文山第一分局 指南派出所,萬壽路61巷4號前,東
LAKD066-01,文山第一分局 指南派出所,北市文山區萬壽路入口處（貓纜園內站）路口監控,東
LAKD067-01,文山第一分局 指南派出所,北市文山區萬壽路43－6號旁電桿路口監控,東
LAKD068-01,文山第一分局 指南派出所,萬壽路43-1號前路口,西
LAKD069-01,文山第一分局 指南派出所,萬壽路36號指南山莊前（路標桿）,東南
LAKD070-01,文山第一分局 指南派出所,新光路1段65巷22號前,西
LAKD071-01,文山第一分局 指南派出所,新光路1段65巷59號前,西南
LAKD072-01,文山第一分局 指南派出所,新光路1段65巷73號前,西
LAKD073-01,文山第一分局 指南派出所,新光路1段65巷79-1號前,西
LAKD074-01,文山第一分局 指南派出所,新光路1段65巷93號前,東南
LAKD075-01,文山第一分局 指南派出所,新光路1段95巷25號,東南
LAKD076-01,文山第一分局 指南派出所,指南路2段45巷6弄1號,北
LAKD077-01,文山第一分局 指南派出所,指南路2段45巷10弄口,東
LAKD078-01,文山第一分局 指南派出所,指南路2段45巷16號,東
LAKD079-01,文山第一分局 指南派出所,指南路2段45巷24弄5號,西
LAKD080-01,文山第一分局 指南派出所,指南路2段45巷21弄7號如玉莊前（李議員）,東
LAKD081-01,文山第一分局 指南派出所,秀明路2段112巷13號,西
LAKD082-01,文山第一分局 指南派出所,新光路1段65巷36號前,西北
LAKD083-01,文山第一分局 指南派出所,新光路1段152號號誌桿,東
LAKD084-01,文山第一分局 指南派出所,新光路1段58號對面燈桿,北
LAKD085-01,文山第一分局 指南派出所,新光路2段74巷底產業道猴山岳觀景台,東
LAKD086-01,文山第一分局 指南派出所,指南路3段207號前（市民農場前深坑交界處）,西
LAKD087-01,文山第一分局 指南派出所,指南路3段草楠橋頭,北
LAKD088-01,文山第一分局 指南派出所,指南路3段34巷往杏花林（老泉里交界處）,東南
LAKD089-01,文山第一分局 指南派出所,指南路3段34巷樟樹步道旁(指南幹118號),東南
LAKD090-01,文山第一分局 指南派出所,指南路3段4號,東南
LAKD091-01,文山第一分局 指南派出所,指南路3段2巷2號前（北政橋頭）,西
LAKD092-01,文山第一分局 指南派出所,指南路3段2巷14號北政國中校門口前,北
LAKD093-01,文山第一分局 指南派出所,指南路3段14巷13弄7號,西
LAKD094-01,文山第一分局 指南派出所,指南路3段45號,西
LAKD095-01,文山第一分局 指南派出所,指南路3段22巷2號,西
LAKD096-01,文山第一分局 指南派出所,指南路3段24巷8號,西
LAKD097-01,文山第一分局 指南派出所,指南路3段26巷9號,東南
LAKD098-01,文山第一分局 指南派出所,指南路3段33巷12號,東
LAKD099-01,文山第一分局 指南派出所,指南路3段33巷32號（登山階梯前）,東南
LAKD100-01,文山第一分局 指南派出所,指南路3段107號,東南
LAKD101-01,文山第一分局 指南派出所,指南路3段115-7號（上山指標牌前）,南
LAKD102-01,文山第一分局 指南派出所,指南路3段38巷5號前（指南橋）,西北
LAKD103-01,文山第一分局 指南派出所,指南路3段34巷12號前（世外桃源前）,西北
LAKD104-01,文山第一分局 指南派出所,指南路3段38巷、34巷24號交叉口（茶鄉居）,西南
LAKD105-01,文山第一分局 指南派出所,指南路3段38巷14-2號前（清心茶園）,西南
LAKD106-01,文山第一分局 指南派出所,指南路3段38巷田寮橋頭(3段38巷14號附近),東
LAKD107-01,文山第一分局 指南派出所,指南路3段34巷(貓空纜車貓空站前),東南
LAKD108-01,文山第一分局 指南派出所,指南路3段34巷53號前（迺妙.晨曦前）,東南
LAKD109-01,文山第一分局 指南派出所,指南路3段38巷37-2號前（天恩宮前）,東北
LAKD110-01,文山第一分局 指南派出所,指南路3段40巷8-2號前（茶展中心前）,東
LAKD111-01,文山第一分局 指南派出所,指南路3段40巷6號前（寒舍前涼亭站）,西南
LAKD112-01,文山第一分局 指南派出所,指南路3段157巷口（指南宮後山入口處）,北
LAKD113-01,文山第一分局 指南派出所,指南路3段157巷200號(貓纜指南宮站出口處右側),東
LAKD114-01,文山第一分局 指南派出所,指南路3段40巷4-1號前（子善茶園入口處前）,西北
LAKD115-01,文山第一分局 指南派出所,指南路3段38巷11-2號前（有緣茶莊入口處）,西南
LAKD116-01,文山第一分局 指南派出所,萬壽路指南宮前山停車場前（東南客運站前）,北
LAKE001-01,文山第一分局 萬芳派出所,和平東路四段66巷對面,東南
LAKE002-01,文山第一分局 萬芳派出所,萬美街1段與萬樂街交叉口(西南角),東
LAKE003-01,文山第一分局 萬芳派出所,萬芳路9-1號對面右邊50公尺燈桿,北
LAKE004-01,文山第一分局 萬芳派出所,萬美街1段50號派出所前號誌,西
LAKE005-01,文山第一分局 萬芳派出所,萬安街56巷口,北
LAKE006-01,文山第一分局 萬芳派出所,萬美街、和平東路四段口,西
LAKE007-01,文山第一分局 萬芳派出所,萬安街22巷13弄10號口,東
LAKE007-02,文山第一分局 萬芳派出所,萬安街22巷13弄10號口,西
LAKE008-01,文山第一分局 萬芳派出所,萬安街22巷13弄32號往巷口,東
LAKE009-01,文山第一分局 萬芳派出所,萬安街22巷13弄26號口,南
LAKE010-01,文山第一分局 萬芳派出所,木柵路5段萬福橋頭(往木柵),西
LAKE011-01,文山第一分局 萬芳派出所,和平東路四段381巷1號,南
LAKE012-01,文山第一分局 萬芳派出所,萬美街2段21巷口對面,北
LAKE013-01,文山第一分局 萬芳派出所,北市文山區萬安街16巷8號停車場路口監控,北
LAKE015-01,文山第一分局 萬芳派出所,萬和街1號萬芳國小後門,西北
LAKE016-01,文山第一分局 萬芳派出所,北市文山區萬芳路9－1號對面往萬和街方向路口監控,西
LAKE017-01,文山第一分局 萬芳派出所,萬安街22巷10號旁,西
LAKE018-01,文山第一分局 萬芳派出所,木柵路4段86號,東北
LAKE019-01,文山第一分局 萬芳派出所,木柵路5段58號對面,東南
LAKE020-01,文山第一分局 萬芳派出所,萬安街81號對面(籃球場旁),南
LAKE021-01,文山第一分局 萬芳派出所,北市文山區萬安街16巷8號停車場路口監控,東
LAKE022-01,文山第一分局 萬芳派出所,萬美.萬寧街口,西
LAKE023-01,文山第一分局 萬芳派出所,和平東路四段88巷口(和平東路四段99號對面公園旁萬寧街口燈桿),北
LAKE024-01,文山第一分局 萬芳派出所,北市文山區萬寧街水源地路口監控,東
LAKE025-01,文山第一分局 萬芳派出所,萬芳路21號旁第二支燈桿,東
LAKE026-01,文山第一分局 萬芳派出所,萬芳路河北公墓往興隆路方向(19-1號右側),西
LAKE027-01,文山第一分局 萬芳派出所,萬芳路64巷2號,南
LAKE028-01,文山第一分局 萬芳派出所,北市文山區萬寧街口中間140高地照登山入口處路口監控,北
LAKE029-01,文山第一分局 萬芳派出所,萬寧街23巷底大門(萬寧街23巷8號旁),東北
LAKE030-01,文山第一分局 萬芳派出所,萬芳路、萬和街口,北
LAKE031-01,文山第一分局 萬芳派出所,木柵路4段159巷194號後,南
LAKE032-01,文山第一分局 萬芳派出所,木柵路4段111巷口,西南
LAKE033-01,文山第一分局 萬芳派出所,木柵路4段157-1號,西南
LAKE034-01,文山第一分局 萬芳派出所,木柵路5段底(文和橋),南
LAKE035-01,文山第一分局 萬芳派出所,木柵路4段159巷194號旁,南
LAKE036-01,文山第一分局 萬芳派出所,木柵路5段43巷往富德公墓方向,北
LAKE037-01,文山第一分局 萬芳派出所,木柵路5段風動公廟旁,東北
LAKE038-01,文山第一分局 萬芳派出所,木柵路4段165號前,西
LAKE040-01,文山第一分局 萬芳派出所,木柵路5段底(文和橋),北
LAKE041-01,文山第一分局 萬芳派出所,萬和街1號,東南
LAKE042-01,文山第一分局 萬芳派出所,萬芳路、萬利街東北角燈桿,東
LAKE043-01,文山第一分局 萬芳派出所,萬安街22巷10號旁,南
LAKE044-01,文山第一分局 萬芳派出所,萬安街22巷13弄8號,西
LAKE045-01,文山第一分局 萬芳派出所,木柵路4段31-6號,西
LAKE046-01,文山第一分局 萬芳派出所,木柵路4段35-3號,南
LAKE047-01,文山第一分局 萬芳派出所,萬利街1號前,南
LAKE048-01,文山第一分局 萬芳派出所,萬安街15號,北
LAKE049-01,文山第一分局 萬芳派出所,萬安街、萬美街口,南
LAKE050-01,文山第一分局 萬芳派出所,萬安街37巷1號旁,東南
LAKE052-01,文山第一分局 萬芳派出所,木柵路4段37號旁,東北
LAKE053-01,文山第一分局 萬芳派出所,萬安街37巷底(89號旁),西
LAKE054-01,文山第一分局 萬芳派出所,萬芳路28號,南
LAKE055-01,文山第一分局 萬芳派出所,木柵路4段35號,西北
LAKE056-01,文山第一分局 萬芳派出所,萬安街22巷2號旁燈桿,西
LAKE057-01,文山第一分局 萬芳派出所,萬美街1段50號派出所旁,東
LAKE058-01,文山第一分局 萬芳派出所,萬芳路、萬和街東北角,西
LAKE059-01,文山第一分局 萬芳派出所,萬芳路捷運萬芳社區站外,東
LAKE060-01,文山第一分局 萬芳派出所,萬安街22巷6號旁,東北
LAKE061-01,文山第一分局 萬芳派出所,木柵路5段58號旁,西北
LAKE062-01,文山第一分局 萬芳派出所,萬安街45號旁,西
LAKE063-01,文山第一分局 萬芳派出所,北市文山區萬安街55號對面右側路口監控,東
LAKE064-01,文山第一分局 萬芳派出所,北市文山區萬安街55號對面右側路口監控,西
LAKE065-01,文山第一分局 萬芳派出所,和平東路四段381巷1號,北
LAKE066-01,文山第一分局 萬芳派出所,萬安街56巷1號,西南
LAKE067-01,文山第一分局 萬芳派出所,萬芳路50號旁,南
LAKE068-01,文山第一分局 萬芳派出所,萬和街３巷口斜對面(游泳池旁,西北
LAKE069-01,文山第一分局 萬芳派出所,萬美街1段21號對面燈桿,西
LAKE070-01,文山第一分局 萬芳派出所,萬芳路28號,北
LAKE071-01,文山第一分局 萬芳派出所,萬美街1段89號,西
LAKE072-01,文山第一分局 萬芳派出所,萬安街44巷6號旁人行道上,東
LAKE073-01,文山第一分局 萬芳派出所,萬安街56巷口,東南
LAKE074-01,文山第一分局 萬芳派出所,萬安街21巷5號前,東
LAKE075-01,文山第一分局 萬芳派出所,萬美街1段45號對面,西
LAKE076-01,文山第一分局 萬芳派出所,萬利街30巷39弄6號,東南
LAKE077-01,文山第一分局 萬芳派出所,萬安街21巷25號前,西
LAKE078-01,文山第一分局 萬芳派出所,萬利街30巷24號,西南
LAKE079-01,文山第一分局 萬芳派出所,萬安街117號對面燈桿,西
LAKE080-01,文山第一分局 萬芳派出所,萬利街59巷12號前燈桿,東南
LAKE081-01,文山第一分局 萬芳派出所,萬利街1號前,北
LAKE082-01,文山第一分局 萬芳派出所,萬美街1段89號.,南
LAKE083-01,文山第一分局 萬芳派出所,萬利街30巷30號前,西南
LAKE084-01,文山第一分局 萬芳派出所,（萬利街30巷1號)斜對面,西北
LAKE085-01,文山第一分局 萬芳派出所,萬利街59巷及萬利街41巷交叉口,北
LAKE086-01,文山第一分局 萬芳派出所,北市文山區萬美街1段123號（大綠世紀）路口監控,南
LAKE087-01,文山第一分局 萬芳派出所,萬美街2段2巷1號,東北
LAKE088-01,文山第一分局 萬芳派出所,和平東路四段88巷29號,東
LAKE089-01,文山第一分局 萬芳派出所,萬利街41巷2號,西
LAKE090-01,文山第一分局 萬芳派出所,萬利街43號旁,東
LAKE091-01,文山第一分局 萬芳派出所,萬美街2段21巷口,南
LAKE092-01,文山第一分局 萬芳派出所,和平東路四段88巷口,西
LAKE093-01,文山第一分局 萬芳派出所,萬美街2段2巷口,西
LAKE094-01,文山第一分局 萬芳派出所,北市文山區萬寧街36巷口路口監控,東
LAKE095-01,文山第一分局 萬芳派出所,萬美街2段2巷口,東
LAKE096-01,文山第一分局 萬芳派出所,木柵路5段21巷口,東
LAKE097-01,文山第一分局 萬芳派出所,木柵路5段57-100號路口,東南
LAKE098-01,文山第一分局 萬芳派出所,木柵路5段100號(往深坑方向高速公路下號誌桿上),西
LAKE099-01,文山第一分局 萬芳派出所,木柵路4段159巷口,北
LAKE100-01,文山第一分局 萬芳派出所,和平東路四段97號斜對面(和平東路四段99號對面號誌桿),西北
LAKE101-01,文山第一分局 萬芳派出所,和平東路四段97號,北
LAKE102-01,文山第一分局 萬芳派出所,木柵路5段53號(焚化爐),西
LAKE103-01,文山第一分局 萬芳派出所,和平東路四段66巷80弄100號(關天師前)路口監控,東
LAKE104-01,文山第一分局 萬芳派出所,和平東路四段67號,西北
LAKE105-01,文山第一分局 萬芳派出所,木柵路5段底(往福德坑復育公園巷內福興宮對面),東
LAKE106-01,文山第一分局 萬芳派出所,和平東路四段66巷80弄21號,東
LAKE107-01,文山第一分局 萬芳派出所,和平東路四段346號,南
LAKE108-01,文山第一分局 萬芳派出所,和平東路四段69號,西
LAKE109-01,文山第一分局 萬芳派出所,和平東路四段361號,西北
LAKE110-01,文山第一分局 萬芳派出所,木柵路4段34號,西
LAKE111-01,文山第一分局 萬芳派出所,木柵路4段30號前,東北
LAKE113-01,文山第一分局 萬芳派出所,木柵路4段159巷(國道3底下),西
LAKE114-01,文山第一分局 萬芳派出所,木柵路4段159巷170弄13號前,北
LAKE115-01,文山第一分局 萬芳派出所,和平東路四段301號對面,北
LAKE116-01,文山第一分局 萬芳派出所,木柵路4段159巷170弄7-1號旁,南
LAKE117-01,文山第一分局 萬芳派出所,木柵路4段111巷2-1號,東北
LAKE118-01,文山第一分局 萬芳派出所,木柵路4段159巷 2號,南
LAKE119-01,文山第一分局 萬芳派出所,木柵路4段159巷 2-6號,東北
LAKE120-01,文山第一分局 萬芳派出所,木柵路4段159巷 (坡內坑公園登山口),東
LAKE121-01,文山第一分局 萬芳派出所,北市文山區木柵路4段159巷154號旁路口監控,北
LAKE122-01,文山第一分局 萬芳派出所,木柵路4段159巷172號,北
LAKE123-01,文山第一分局 萬芳派出所,木柵路4段159巷178號前,南
LAKE124-01,文山第一分局 萬芳派出所,木柵路4段159巷16弄敦南山林警衛室對面,西南
LAKE125-01,文山第一分局 萬芳派出所,木柵路4段21巷1-18號對面,北
LAKE126-01,文山第一分局 萬芳派出所,木柵路5段18號,西南
LAKE127-01,文山第一分局 萬芳派出所,和平東路四段385號(往356巷內),西南
LAKE128-01,文山第一分局 萬芳派出所,木柵路4段147號,西南
LAKE129-01,文山第一分局 萬芳派出所,萬安街16巷口往全家超商對面,南
LAKE130-01,文山第一分局 萬芳派出所,萬美街1段(萬芳7號公園旁),東
LAKE131-01,文山第一分局 萬芳派出所,萬和街.萬樂街口,西
LAKE132-01,文山第一分局 萬芳派出所,萬芳路、萬利街口(東北角),西
LAKE134-01,文山第一分局 萬芳派出所,萬寧街32號,西
LAKE135-01,文山第一分局 萬芳派出所,北市文山區萬寧街141號對面路口監控,西
LAKE136-01,文山第一分局 萬芳派出所,萬寧街163號對面,東南
LALA001-01,文山第二分局 景美派出所,景興路238巷22號旁,西南
LALA002-01,文山第二分局 景美派出所,景中街30巷口第一銀行(景中街28號旁),東
LALA003-01,文山第二分局 景美派出所,景中街33號旁,北
LALA004-01,文山第二分局 景美派出所,景文街106號,南
LALA006-01,文山第二分局 景美派出所,景中街2號,西
LALA008-01,文山第二分局 景美派出所,車前路1號,西
LALA009-01,文山第二分局 景美派出所,羅斯福路6段407號,東
LALA010-01,文山第二分局 景美派出所,景興路240號,西北
LALA011-01,文山第二分局 景美派出所,景興路238巷22號旁,南
LALA012-01,文山第二分局 景美派出所,景後街145號,西
LALA013-01,文山第二分局 景美派出所,景興街282巷3號,西
LALA014-01,文山第二分局 景美派出所,北市文山區景後街151號前路口監控,北
LALA015-01,文山第二分局 景美派出所,景文街106號,北
LALA016-01,文山第二分局 景美派出所,景後街174號,南
